t,u,v,i,j
0,0.99999,1.86803e-06,182,100
0.00309045,0.990528,5.62429e-05,182,100
0.0061809,0.990333,-2.81593e-05,182,100
0.00927136,0.990361,-9.84334e-05,182,100
0.0123618,0.991323,-6.50632e-05,182,100
0.0154523,0.991474,-0.000100358,182,100
0.0185427,0.991924,-9.47757e-05,182,100
0.0216332,0.991697,-0.000118754,182,100
0.0247236,0.989727,-0.000146048,182,100
0.0278141,0.985762,-0.000135995,182,100
0.0309045,0.982129,-0.000102352,182,100
0.033995,0.980685,-0.000107129,182,100
0.0370854,0.981507,-0.000132838,182,100
0.0401759,0.983278,-0.000149759,182,100
0.0432663,0.985049,-0.00015822,182,100
0.0463568,0.986476,-0.0001664,182,100
0.0494472,0.987273,-0.000178672,182,100
0.0525377,0.986902,-0.000193028,182,100
0.0556281,0.985193,-0.000196638,182,100
0.0587186,0.982957,-0.00018736,182,100
0.061809,0.981469,-0.000182585,182,100
0.0648995,0.981416,-0.000192038,182,100
0.0679899,0.982537,-0.000207758,182,100
0.0710804,0.984141,-0.000221335,182,100
0.0741709,0.98566,-0.000232642,182,100
0.0772613,0.986698,-0.000244596,182,100
0.0803518,0.986918,-0.000257048,182,100
0.0834422,0.986173,-0.000265659,182,100
0.0865327,0.984779,-0.000267962,182,100
0.0896231,0.983459,-0.000268756,182,100
0.0927136,0.982876,-0.000274953,182,100
0.095804,0.983222,-0.000287669,182,100
0.0988945,0.984224,-0.000303174,182,100
0.101985,0.985423,-0.000318637,182,100
0.105075,0.986394,-0.000333878,182,100
0.108166,0.986812,-0.000348963,182,100
0.111256,0.986512,-0.000362444,182,100
0.114347,0.9856,-0.000372894,182,100
0.117437,0.984472,-0.000381562,182,100
0.120528,0.983619,-0.000391959,182,100
0.123618,0.983355,-0.000406559,182,100
0.126709,0.983676,-0.000425012,182,100
0.129799,0.984331,-0.000445552,182,100
0.132889,0.984971,-0.000466934,182,100
0.13598,0.985284,-0.000488582,182,100
0.13907,0.985073,-0.000509818,182,100
0.142161,0.984328,-0.00052995,182,100
0.145251,0.983249,-0.000549301,182,100
0.148342,0.982162,-0.000569586,182,100
0.151432,0.981362,-0.000592804,182,100
0.154523,0.980971,-0.000619848,182,100
0.157613,0.980902,-0.000650305,182,100
0.160704,0.980929,-0.000683262,182,100
0.163794,0.980788,-0.000717948,182,100
0.166884,0.980271,-0.000753782,182,100
0.169975,0.979297,-0.000790359,182,100
0.173065,0.977939,-0.000827775,182,100
0.176156,0.976394,-0.000866916,182,100
0.179246,0.974891,-0.000909145,182,100
0.182337,0.973583,-0.000955544,182,100
0.185427,0.972486,-0.00100642,182,100
0.188518,0.97148,-0.0010614,182,100
0.191608,0.970372,-0.00111983,182,100
0.194698,0.968975,-0.00118108,182,100
0.197789,0.967171,-0.00124465,182,100
0.200879,0.964954,-0.00131036,182,100
0.20397,0.962425,-0.00137847,182,100
0.20706,0.959743,-0.00144967,182,100
0.210151,0.957053,-0.00152463,182,100
0.213241,0.954419,-0.00160369,182,100
0.216332,0.951804,-0.00168664,182,100
0.219422,0.94909,-0.00177285,182,100
0.222513,0.946132,-0.00186155,182,100
0.225603,0.942812,-0.00195198,182,100
0.228693,0.939086,-0.00204358,182,100
0.231784,0.934995,-0.00213614,182,100
0.234874,0.930642,-0.00222973,182,100
0.237965,0.926148,-0.00232463,182,100
0.241055,0.9216,-0.00242098,182,100
0.244146,0.917015,-0.00251867,182,100
0.247236,0.912341,-0.00261723,182,100
0.250327,0.907486,-0.00271598,182,100
0.253417,0.902355,-0.00281423,182,100
0.256508,0.896892,-0.00291139,182,100
0.259598,0.891103,-0.00300709,182,100
0.262688,0.885049,-0.00310128,182,100
0.265779,0.878825,-0.00319409,182,100
0.268869,0.872516,-0.00328573,182,100
0.27196,0.866168,-0.00337625,182,100
0.27505,0.859776,-0.00346551,182,100
0.278141,0.85329,-0.00355318,182,100
0.281231,0.846644,-0.00363882,182,100
0.284322,0.839784,-0.00372202,182,100
0.287412,0.832696,-0.00380254,182,100
0.290503,0.825408,-0.00388031,182,100
0.293593,0.817985,-0.00395548,182,100
0.296683,0.810496,-0.00402827,182,100
0.299774,0.802998,-0.0040989,182,100
0.302864,0.795508,-0.00416742,182,100
0.305955,0.788008,-0.00423377,182,100
0.309045,0.780455,-0.00429773,182,100
0.312136,0.772806,-0.00435906,182,100
0.315226,0.765034,-0.00441758,182,100
0.318317,0.757147,-0.00447324,182,100
0.321407,0.749181,-0.00452614,182,100
0.324497,0.741187,-0.00457647,182,100
0.327588,0.733215,-0.00462445,182,100
0.330678,0.725294,-0.00467025,182,100
0.333769,0.717425,-0.0047139,182,100
0.336859,0.709584,-0.00475532,182,100
0.33995,0.701738,-0.0047944,182,100
0.34304,0.693862,-0.00483098,182,100
0.346131,0.685946,-0.00486502,182,100
0.349221,0.678008,-0.00489656,182,100
0.352312,0.67008,-0.00492573,182,100
0.355402,0.662202,-0.00495271,182,100
0.358492,0.654403,-0.00497767,182,100
0.361583,0.646693,-0.00500071,182,100
0.364673,0.639066,-0.00502183,182,100
